,model,Ratio,Replace,dataset,Accuracy,F1 Prefix,F1 random,Recall Prefix,Recall random,Precision Prefix,Precision random,Train Loss 0,Train Loss 1,Train Loss 2,Train Loss 3,Train Loss 4,Train Loss 5,Train Loss 6,Train Loss 7,Train Loss 8,Train Loss 9,Train Loss 10,Train Loss 11,Train Loss 12,Train Loss 13,Train Loss 14,Val Loss 0,Val Loss 1,Val Loss 2,Val Loss 3,Val Loss 4,Val Loss 5,Val Loss 6,Val Loss 7,Val Loss 8,Val Loss 9,Val Loss 10,Val Loss 11,Val Loss 12,Val Loss 13,Val Loss 14,test Accuracy 0,test Accuracy 1,test Accuracy 2,test Accuracy 3,test Accuracy 4,test Accuracy 5,test Accuracy 6,test Accuracy 7,test Accuracy 8,test Accuracy 9,test Accuracy 10,test Accuracy 11,test Accuracy 12,test Accuracy 13,test Accuracy 14,train Accuracy 0,train Accuracy 1,train Accuracy 2,train Accuracy 3,train Accuracy 4,train Accuracy 5,train Accuracy 6,train Accuracy 7,train Accuracy 8,train Accuracy 9,train Accuracy 10,train Accuracy 11,train Accuracy 12,train Accuracy 13,train Accuracy 14
10,euclidean,0.25,0.5,30,0.8384999999999999,0.8962416520787774,0.6328385914738942,0.864689199650687,0.7358803933542101,0.930947216196674,0.5623318385650224,0.5655727871446697,0.5299811402945607,0.49724424931296596,0.47324827810790804,0.45451212941827596,0.4379249211163432,0.42376012602365676,0.41094690164206205,0.3998129480751576,0.3895684000852483,0.3802551735060082,0.37195283774120935,0.3650632252326166,0.3595757328001437,0.35500781065253195,0.5481769225696722,0.5139358472079039,0.4877639545450608,0.4675093081196149,0.44990738162398336,0.4344477844710151,0.421893286605676,0.4098507653872172,0.39965320254613956,0.3894129624937971,0.3816256799946228,0.37140424574166536,0.3662602080106735,0.36533171916007995,0.357789319353799,0.7532569444444445,0.7587280092592593,0.7730266203703704,0.7854675925925926,0.7952071759259259,0.8036087962962963,0.8097118055555556,0.8160335648148148,0.8213020833333334,0.8257847222222222,0.8295960648148148,0.8351261574074074,0.8378032407407408,0.8384965277777778,0.8418344907407408,0.7492291666666666,0.7539041666666667,0.7682458333333333,0.7807041666666666,0.7910541666666667,0.7999833333333334,0.8066375,0.8122875,0.8173166666666667,0.8224250000000001,0.8264166666666667,0.8314666666666667,0.8339958333333333,0.8348333333333334,0.8384708333333334
11,euclidean,0.25,0.7,30,0.7728333333333334,0.8619057220290406,0.3443065399508417,0.7954329511571772,0.6039424342345183,0.9420383573757807,0.25430844760453697,0.5722859273276947,0.5569431657371697,0.5473113227872937,0.5370750639549009,0.5280416216000362,0.5208724040538073,0.5148914770842702,0.5093730761265313,0.5041053446487144,0.4991950604755569,0.4943337773962153,0.4898936842757243,0.4859518359320031,0.48195802782420755,0.4785105867275485,0.561868106285731,0.5547132192055384,0.5458269713123639,0.5373007171154022,0.5297807291696469,0.5253038931787014,0.5192225080827871,0.5131670841276645,0.5084502557963133,0.5053311337679625,0.5014372740437587,0.49629705387850603,0.4934776259760062,0.4897470712910096,0.4866729435722033,0.7503240740740741,0.7503842592592593,0.75090625,0.7523414351851851,0.7545636574074074,0.7576053240740741,0.7601296296296296,0.7618877314814815,0.764806712962963,0.7666944444444445,0.768144675925926,0.7708333333333334,0.7721504629629631,0.7737372685185185,0.7749108796296297,0.7538750000000001,0.7539041666666667,0.7543375,0.7549125,0.7565666666666666,0.75895,0.7602708333333333,0.7623708333333333,0.7639041666666666,0.7653291666666667,0.7674291666666666,0.7695875,0.7704166666666666,0.772275,0.7727708333333333
12,euclidean,0.5,0.1,30,0.9922333333333333,0.9924472466244154,0.9918171286872172,0.9925401978973408,0.991829363043012,0.9924129968662379,0.9918729998315647,0.4990546279218462,0.12146378926736195,0.05888662307667196,0.04075537417361215,0.03244006120595059,0.027681690509842777,0.024782867560035907,0.022973634637234674,0.021528945035792623,0.020634774969099736,0.019698023469703053,0.019141401721356265,0.0186059423226376,0.01818979354873397,0.017822925005576497,0.21017506867895522,0.07725671821863697,0.0494698953760477,0.03696729045663955,0.0324922141237184,0.028373906737484453,0.025997114063599492,0.024457136951105553,0.02341565570197896,0.02188729004173846,0.022552645849335574,0.022185635978545108,0.021412591736410785,0.020844130081975838,0.020260642808216853,0.9516030092592592,0.9809074074074075,0.9853240740740741,0.9883784722222223,0.9899189814814815,0.9904201388888888,0.9910844907407408,0.9915636574074074,0.9917604166666667,0.9920833333333333,0.9922662037037037,0.9922199074074075,0.9923067129629629,0.9924884259259259,0.9928125,0.9506541666666667,0.9802916666666667,0.9849208333333334,0.9878,0.9892500000000001,0.98975,0.99035,0.9908750000000001,0.9912458333333334,0.9913375,0.9913500000000001,0.991425,0.9915166666666667,0.9916791666666668,0.9921458333333334
13,euclidean,0.5,0.3,30,0.9472,0.9466912145086882,0.947696809616446,0.9603310283043608,0.9354939957057401,0.9338973210583064,0.9606631499623209,0.6128987333752491,0.377103035983664,0.29094462853987463,0.2519331868473026,0.22725005452914368,0.20713908053586186,0.19203475890039565,0.1798793120185534,0.17009829162561366,0.16122276120731188,0.1533073841292514,0.1462810036012109,0.14048435490823313,0.1347242950627028,0.12918919873084972,0.4668068127632141,0.3262091903835535,0.27661200461039936,0.24444152239585915,0.22566785450776417,0.20818248914740975,0.19581513713300225,0.1863354901761437,0.17296762002104268,0.16379357814416284,0.15666266880712157,0.1553052776623517,0.14652146731472263,0.13910673333300896,0.1354857429048667,0.7977303240740741,0.8630266203703704,0.8855416666666667,0.8997766203703704,0.9089328703703703,0.9163113425925926,0.9216608796296296,0.9272013888888889,0.9325775462962963,0.9369826388888889,0.9407928240740742,0.9414305555555555,0.9448854166666667,0.9483194444444444,0.9501342592592592,0.7929708333333333,0.8593416666666667,0.8829499999999999,0.8967583333333333,0.9060916666666666,0.913575,0.918125,0.9241458333333333,0.9290916666666666,0.9336749999999999,0.9372375000000001,0.9384583333333333,0.941775,0.9454208333333334,0.9472166666666666
14,euclidean,0.5,0.5,30,0.8148666666666666,0.81548190658008,0.8139051351115787,0.8208435118980343,0.8130073461695448,0.8126897238118935,0.8172737168215691,0.6933153803701754,0.6370878748496374,0.5917177004505088,0.5596661786845437,0.5330403450859917,0.5076232166941519,0.4829379106191573,0.462907438400167,0.44959097482705557,0.4405890081613152,0.4323414983724554,0.42485398539845587,0.4186610660812369,0.4138633921827983,0.40958498417806843,0.6634302970568339,0.6087720158795515,0.5727544807593028,0.5405529292523862,0.5142773957798878,0.48928014365832007,0.46310858012239137,0.44666337394714356,0.4355793755749861,0.4262541614125172,0.4175648878117402,0.40980420292913916,0.4074814689556757,0.40008988351374863,0.3956103909040491,0.5997812499999999,0.6678576388888888,0.6990694444444444,0.7245833333333334,0.7433159722222222,0.7602627314814814,0.7756215277777778,0.7842465277777778,0.7902210648148148,0.7953888888888889,0.8007986111111111,0.8044479166666666,0.8065648148148148,0.8105243055555555,0.813394675925926,0.5966708333333333,0.6640708333333334,0.6961625,0.7214875000000001,0.7403208333333333,0.7590333333333333,0.7760083333333333,0.7853333333333333,0.7918458333333334,0.7975791666666667,0.8019541666666666,0.8065583333333334,0.8080583333333333,0.8121125,0.8149708333333333
15,euclidean,0.5,0.7,30,0.6883666666666667,0.6777504011645531,0.6963237488626703,0.6924707814485405,0.6895177235677541,0.6684103605891315,0.7078040374199901,0.700778093315937,0.6821020410877686,0.6671265138233149,0.6539056916788772,0.6433854432348852,0.6342514655678361,0.6260131365999028,0.6185657499123504,0.6115172469450367,0.6053117021686502,0.5995516648149048,0.5933227003205706,0.5870359292626381,0.5812289555105897,0.5760814927407989,0.690022344926993,0.6793263512253761,0.6678372201522191,0.6567823716203371,0.6484899477163951,0.6430782848099867,0.6354607892533143,0.6298723274072011,0.6225443578461806,0.616247260560592,0.6100345232884089,0.6044502191940944,0.5971742419699828,0.5930729753772418,0.585491171747446,0.5361030092592592,0.5781550925925926,0.6057013888888889,0.6243738425925927,0.6378275462962963,0.6448518518518519,0.6540960648148147,0.6601238425925925,0.6677858796296297,0.6732476851851852,0.6798240740740741,0.6848252314814814,0.6906701388888888,0.6936585648148148,0.7006400462962963,0.5301333333333333,0.5679208333333333,0.5940833333333334,0.6104541666666666,0.6232624999999999,0.6293833333333333,0.6401625000000001,0.6463125000000001,0.6537916666666667,0.6595958333333333,0.6670291666666667,0.6727041666666668,0.6788916666666667,0.6818541666666668,0.6884125
16,euclidean,0.25,0.1,50,0.9736999999999999,0.9824371011716102,0.9474085428309348,0.981607235495341,0.9502811134080957,0.9833221925133689,0.9450231481481481,0.47927513093528923,0.24521852191606602,0.17413966616550114,0.14269158920400807,0.1227485929743421,0.10839451656135277,0.09807858508055663,0.089832701997217,0.08288351654633984,0.07703062985427954,0.07281827892774292,0.0686891283339635,0.06534963417255114,0.06238328768323436,0.05954681721888478,0.31727640633533394,0.19290195972099897,0.15411994418253497,0.1310522326029216,0.11500990434565267,0.10671262443050118,0.09407630826365974,0.0860775956542153,0.08101146370979642,0.0762156385382598,0.07391012316387298,0.06982017635859662,0.06687488109325443,0.06266027869872046,0.05898329189364444,0.8629988425925925,0.925625,0.9395046296296297,0.94803125,0.9547650462962963,0.9579722222222222,0.9636608796296297,0.9668888888888889,0.9687407407407407,0.9712094907407407,0.9722951388888889,0.9742777777777777,0.9752523148148149,0.9770509259259259,0.9790185185185186,0.8601541666666667,0.9225291666666667,0.9360333333333333,0.9442541666666667,0.9503,0.9537541666666667,0.9592708333333333,0.9622375000000001,0.9641416666666667,0.9664874999999999,0.9673291666666667,0.9692500000000001,0.9703,0.9715541666666667,0.9736708333333334
17,euclidean,0.25,0.3,50,0.9262,0.9509621535616187,0.8510658224940175,0.950054715644378,0.8571240190964609,0.9521972845663619,0.8476742233417297,0.5368772463241108,0.4152633920753443,0.35088543162356917,0.3164171952470033,0.2916441455639347,0.27154041110751803,0.25524848781843423,0.2413393500414849,0.22932267945094237,0.21734609123822987,0.20600323612215338,0.1959308027560236,0.18667775768748723,0.1786901661874726,0.1721750292501205,0.48016896824042,0.3869089836676915,0.34723373434940974,0.3192720624779661,0.2956617723765472,0.2826011258463064,0.26362096174185473,0.25028133818010484,0.23939484151825308,0.22640229955998556,0.21754259855238098,0.20528547463814414,0.19357984653208402,0.1904106645970605,0.17900725046452132,0.775462962962963,0.8340497685185185,0.8563703703703704,0.8702303240740741,0.8819583333333333,0.8882905092592593,0.8967083333333333,0.9031377314814815,0.9074641203703704,0.9135451388888889,0.9174872685185186,0.9222453703703705,0.9269733796296297,0.9284583333333333,0.9326296296296296,0.7718708333333333,0.8290458333333334,0.8503291666666667,0.864525,0.8755124999999999,0.8810291666666666,0.8902833333333333,0.896075,0.9004916666666667,0.9066833333333334,0.9111458333333334,0.9157458333333334,0.9208583333333333,0.921825,0.9262625
18,euclidean,0.25,0.5,50,0.8447999999999999,0.900096610324922,0.6489042707600503,0.8748040474636524,0.7356722102188443,0.9280902604944417,0.5903868896773103,0.5625527149173948,0.5137753305666977,0.47934711963324633,0.4562199873736611,0.43974871947202415,0.4261083363117995,0.4144541999995708,0.40430254719820286,0.39527678271383043,0.3870377524241253,0.37908935039131725,0.371311496231567,0.3630062917087365,0.3558767664639486,0.3484983895834949,0.538064445545276,0.4960507189929485,0.469956686074535,0.4540524697750807,0.439166711995999,0.4262953737477461,0.4151430693566799,0.4073135660042365,0.3992038321296374,0.39050380491216974,0.38812005938341215,0.3790637767141064,0.3694165746197104,0.3621793561975161,0.3553756972899039,0.750744212962963,0.76709375,0.7812418981481482,0.7923946759259259,0.8022245370370371,0.8093958333333333,0.816224537037037,0.8211296296296297,0.8252777777777778,0.8306134259259259,0.8312696759259259,0.8358981481481481,0.8414722222222222,0.8449131944444445,0.8485243055555556,0.754175,0.769325,0.7828958333333333,0.791875,0.7998125,0.8069624999999999,0.813675,0.8184583333333334,0.8220708333333333,0.8263541666666666,0.8263874999999999,0.8322875,0.8380208333333333,0.8419291666666666,0.8448041666666667
19,euclidean,0.25,0.7,50,0.7541,0.854168830712266,0.2092871022512275,0.7661219649044362,0.5760947399526045,0.9654995253252918,0.13267684227802393,0.5710732647875945,0.5549647187822395,0.5475884297821256,0.5397827674012493,0.5336457067441057,0.5287643045192516,0.5245447279557034,0.5206812752501832,0.5174379762764331,0.5145327723456753,0.5120271202717667,0.5098436012135612,0.5077564141435755,0.5059397092080778,0.5039958110457217,0.5486792304317156,0.5433924297789733,0.5380499319434165,0.5324273342788219,0.5278623883823553,0.5229248888790607,0.5206707888493936,0.5199845680892468,0.5148169586906831,0.5124246263752381,0.5109389852434396,0.5104266280730566,0.5093944056977828,0.5062645985583464,0.5036842693785827,0.7527291666666667,0.752761574074074,0.7531770833333333,0.7535706018518519,0.7545590277777777,0.7556574074074074,0.756931712962963,0.7574351851851852,0.7597800925925926,0.7606446759259259,0.7613738425925926,0.7621608796296296,0.7628553240740741,0.7639965277777778,0.7651180555555556,0.7461375,0.7461458333333334,0.7460666666666668,0.7463416666666667,0.7467208333333333,0.7475416666666667,0.7484999999999999,0.7484916666666667,0.7497958333333333,0.7508625,0.7516999999999999,0.7512333333333333,0.7522333333333333,0.7532166666666666,0.7540666666666667
20,euclidean,0.5,0.1,50,0.9752,0.9753668395647275,0.9750328229587607,0.9841556142225911,0.9666612408450154,0.9669449901768172,0.9837661235573659,0.5403630851708628,0.24919114530900557,0.1764655700821636,0.14215804844618668,0.12085595894970548,0.10554512514510292,0.09512534153002687,0.08731019920166319,0.08141517588223922,0.07605641599623936,0.0725084305710107,0.06833373552528894,0.06538185090531431,0.06237927446362484,0.05982555067679717,0.3343739371349414,0.21250290132562316,0.16796111191684998,0.14223442786761248,0.12265882136843474,0.11100537600709742,0.10475224151586487,0.096156321734578,0.08898036783751252,0.0894852229036623,0.08077557559588841,0.07993576025627161,0.07515702007671154,0.07605992550653169,0.07006843152106734,0.8810393518518519,0.9208414351851852,0.9391724537037036,0.9491180555555555,0.9579293981481481,0.9629398148148148,0.9646099537037037,0.9683298611111112,0.9714421296296296,0.9716122685185185,0.9747824074074074,0.9754375,0.9771643518518519,0.9769074074074074,0.9790902777777777,0.87745,0.9169708333333334,0.9339083333333333,0.9445708333333334,0.9526791666666666,0.9580291666666666,0.9596291666666666,0.9636791666666666,0.9669666666666666,0.9673083333333333,0.970475,0.97095,0.9730624999999999,0.9724916666666666,0.9752041666666666
